"Team","Team_Index","Player","FirstName","LastName","Age","GamesPlayed","GamesStarted","MinutesPlayed","FieldGoalsPerGame","FieldGoalAttemptsPerGame","FieldGoalPercentPerGame","ThreePointFieldGoalsPerGame","ThreePointFieldGoalAttemptsPerGame","ThreePointFieldGoalPercentPerGame","TwoPointFieldGoalsPerGame","TwoPointFieldGoalAttemptsPerGame","TwoPointFieldGoalPercentPerGame","EffectiveFieldGoalPercent","FreeThrowsPerGame","FreeThrowAttemptsPerGame","FreeThrowPercentPerGame","OffensiveReboundsPerGame","DefensiveReboundsPerGame","TotalReboundsPerGame","AssistsPerGame","StealsPerGame","BlocksPerGame","TurnoversPerGame","PersonalFoulsPerGame","PointsPerGame","PER","Position","Player_ID"
"ATL",1,"mouhamed gueye","mouhamed","gueye",21,6,0,12.2,1.3,3.8,0.348,0.5,1.5,0.333,0.8,2.3,0.357,0.413,0.8,1,0.833,1.7,2,3.7,0.7,0.8,0.7,0.2,2.2,4,1.16666666666667,"pf",1005
"ATL",1,"trae young","trae","young",25,54,54,36,8,18.7,0.43,3.2,8.7,0.373,4.8,10,0.479,0.516,6.4,7.5,0.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2,25.7,0.455555555555555,"pg",1013
"ATL",1,"jalen johnson","jalen","johnson",22,56,52,33.7,6.4,12.5,0.511,1.3,3.6,0.355,5.1,9,0.574,0.562,1.9,2.6,0.728,1.3,7.4,8.7,3.6,1.2,0.8,1.8,2.4,16,0.3875,"sf",1007
"ATL",1,"vit krejci","vit","krejci",23,22,14,24.6,2.3,4.7,0.49,1.3,3.1,0.412,1,1.6,0.639,0.625,0.2,0.3,0.833,0.5,1.9,2.4,2.3,0.6,0.3,0.9,2.2,6.1,0.377272727272727,"pg",1003
"ATL",1,"onyeka okongwu","onyeka","okongwu",23,55,8,25.5,4.1,6.6,0.611,0.4,1.3,0.333,3.6,5.4,0.676,0.642,1.7,2.1,0.793,2.6,4.2,6.8,1.3,0.5,1.1,0.8,2.9,10.2,0.294545454545455,"c",1012
"ATL",1,"dejounte murray","dejounte","murray",27,78,78,35.7,8.6,18.8,0.459,2.6,7.1,0.363,6,11.7,0.518,0.528,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5,0.287179487179487,"sg",1006
"ATL",1,"kobe bufkin","kobe","bufkin",20,17,0,11.5,2,5.4,0.37,0.5,2.4,0.225,1.5,3.1,0.481,0.418,0.2,0.5,0.5,0.4,1.6,1.9,1.6,0.4,0.3,0.6,1.2,4.8,0.276470588235294,"sg",1015
"ATL",1,"clint capela","clint","capela",29,73,73,25.8,4.8,8.5,0.571,0,0,0,4.8,8.5,0.572,0.571,1.8,2.8,0.631,4.6,6,10.6,1.2,0.6,1.5,1,2.2,11.5,0.26986301369863,"c",1002
"ATL",1,"de'andre hunter","de'andre","hunter",26,57,37,29.5,5.3,11.6,0.459,2.1,5.3,0.385,3.3,6.3,0.521,0.547,2.9,3.4,0.847,0.5,3.4,3.9,1.5,0.7,0.3,1.5,2.6,15.6,0.240350877192982,"sf",1010
"ATL",1,"saddiq bey","saddiq","bey",24,63,51,32.7,4.6,11.1,0.416,1.8,5.7,0.316,2.8,5.4,0.522,0.497,2.7,3.2,0.837,2.7,3.9,6.5,1.5,0.8,0.2,0.9,1.4,13.7,0.234920634920635,"sf",1009
"ATL",1,"bruno fernando","bruno","fernando",25,45,2,15.2,2.4,4.2,0.583,0,0.1,0,2.4,4.1,0.596,0.583,1.4,2.1,0.667,1.3,3,4.3,1,0.6,0.6,1,2.4,6.3,0.206666666666667,"c",1001
"ATL",1,"bogdan bogdanović","bogdan","bogdanović",31,79,33,30.4,6,13.9,0.428,3,8.1,0.374,2.9,5.8,0.503,0.537,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,2.3,16.9,0.194936708860759,"sg",1004
"ATL",1,"trent forrest","trent","forrest",25,38,0,10.9,0.9,2.4,0.378,0.1,0.3,0.2,0.8,2.1,0.4,0.389,0.3,0.4,0.765,0.3,1.1,1.3,2.4,0.3,0.1,0.5,0.7,2.2,0.110526315789474,"sg",1011
"ATL",1,"wesley matthews","wesley","matthews",37,36,3,11.5,0.9,2.7,0.351,0.7,1.9,0.348,0.3,0.8,0.357,0.474,0.5,0.7,0.75,0.3,1.2,1.5,0.6,0.4,0.3,0.2,1.2,3.1,0.102777777777778,"sg",1016
"ATL",1,"seth lundy","seth","lundy",23,9,0,5.8,0.4,1.9,0.235,0.3,1.4,0.231,0.1,0.4,0.25,0.324,0.3,0.4,0.75,0.1,0.7,0.8,0,0,0,0.1,0.7,1.6,0.0777777777777778,"sf",1018
"ATL",1,"garrison mathews","garrison","mathews",27,66,5,15,1.6,3.4,0.456,1.3,2.9,0.44,0.3,0.5,0.545,0.644,0.5,0.6,0.81,0.3,1.1,1.4,0.6,0.3,0.1,0.3,1.7,4.9,0.0772727272727273,"sg",1008
"ATL",1,"aj griffin","aj","griffin",20,20,0,8.6,0.9,3.1,0.29,0.5,2,0.256,0.4,1.2,0.348,0.371,0.1,0.1,1,0.1,0.8,0.9,0.3,0.1,0.1,0.4,0.3,2.4,0.06,"sf",1014
"BOS",2,"drew peterson","drew","peterson",24,3,0,7.7,1.3,2,0.667,1,1.7,0.6,0.3,0.3,1,0.917,0,0,0,0,0.3,0.3,0.3,0.7,0,0.3,0.3,3.7,1.33333333333333,"pf",2017
"BOS",2,"jd davison","jd","davison",21,8,0,4.9,0.6,1.5,0.417,0.4,0.9,0.429,0.3,0.6,0.4,0.542,0.4,0.5,0.75,0.3,1,1.3,1.3,0.1,0.1,0.3,0.5,2,0.4375,"sg",2016
"BOS",2,"jordan walsh","jordan","walsh",19,9,1,9.2,0.7,1.7,0.4,0.2,1,0.222,0.4,0.7,0.667,0.467,0.1,0.2,0.5,0.6,1.7,2.2,0.6,0.6,0.1,0.3,1.2,1.7,0.422222222222222,"sf",2012
"BOS",2,"kristaps porziņģis","kristaps","porziņģis",28,57,57,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.9,8.1,0.606,0.589,4.5,5.3,0.858,1.7,5.5,7.2,2,0.7,1.9,1.6,2.7,20.1,0.405263157894737,"c",2003
"BOS",2,"jayson tatum","jayson","tatum",25,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6,11,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1,0.6,2.5,2,26.9,0.374324324324324,"pf",2008
"BOS",2,"neemias queta","neemias","queta",24,28,0,11.9,2.4,3.7,0.644,0,0,0,2.4,3.7,0.644,0.644,0.7,1,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5,0.35,"c",2004
"BOS",2,"jaylen brown","jaylen","brown",27,70,70,33.5,9,17.9,0.499,2.1,5.9,0.354,6.9,12.1,0.57,0.557,3,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23,0.302857142857143,"sf",2010
"BOS",2,"derrick white","derrick","white",29,73,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,0.578,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1,1.2,1.5,2.1,15.2,0.258904109589041,"sg",2009
"BOS",2,"jrue holiday","jrue","holiday",33,69,69,32.8,4.8,10,0.48,2,4.7,0.429,2.8,5.3,0.526,0.581,0.9,1,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5,0.250724637681159,"pg",2011
"BOS",2,"al horford","al","horford",37,65,33,26.8,3.3,6.4,0.511,1.7,4,0.419,1.6,2.5,0.658,0.64,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1,0.7,1.4,8.6,0.235384615384615,"c",2002
"BOS",2,"luke kornet","luke","kornet",28,63,7,15.6,2.3,3.2,0.7,0,0,1,2.2,3.2,0.698,0.702,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1,0.3,1.2,5.3,0.168253968253968,"c",2013
"BOS",2,"payton pritchard","payton","pritchard",26,82,5,22.3,3.6,7.7,0.468,1.8,4.7,0.385,1.8,3.1,0.593,0.583,0.6,0.7,0.821,0.9,2.4,3.2,3.4,0.5,0.1,0.7,1.3,9.6,0.145121951219512,"pg",2006
"BOS",2,"sam hauser","sam","hauser",26,79,13,22,3.2,7.1,0.446,2.5,5.9,0.424,0.7,1.2,0.559,0.623,0.2,0.2,0.895,0.6,2.9,3.5,1,0.5,0.3,0.4,1.3,9,0.126582278481013,"sf",2007
"BOS",2,"svi mykhailiuk","svi","mykhailiuk",26,41,2,10.1,1.4,3.3,0.416,1,2.6,0.389,0.4,0.7,0.517,0.569,0.1,0.2,0.667,0.3,1,1.2,0.9,0.3,0,0.3,0.5,4,0.1,"sf",2005
"BOS",2,"oshae brissett","oshae","brissett",25,55,1,11.5,1.2,2.8,0.444,0.3,1,0.273,1,1.8,0.541,0.493,0.9,1.5,0.602,1.1,1.8,2.9,0.8,0.3,0.1,0.4,1,3.7,0.0945454545454545,"sf",2001
"BRK",3,"dariq whitehead","dariq","whitehead",19,2,0,12,0.5,2.5,0.2,0,1.5,0,0.5,1,0.5,0.2,0.5,1,0.5,0,2,2,1.5,0,0.5,0,0,1.5,1.5,"sf",3016
"BRK",3,"ben simmons","ben","simmons",27,15,12,23.9,2.9,4.9,0.581,0,0,0,2.9,4.9,0.581,0.581,0.4,1,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1,1.11333333333333,"pg",3001
"BRK",3,"keon johnson","keon","johnson",21,5,0,12.2,1.6,4.2,0.381,0.8,2,0.4,0.8,2.2,0.364,0.476,2.2,2.4,0.917,0.6,0.8,1.4,0.6,0.6,0.2,1,1,6.2,1.04,"sg",3014
"BRK",3,"noah clowney","noah","clowney",19,23,4,16.1,2.2,4,0.538,0.5,1.4,0.364,1.7,2.6,0.633,0.602,0.9,1.3,0.7,1.1,2.4,3.5,0.8,0.3,0.7,0.7,1.1,5.8,0.356521739130435,"pf",3011
"BRK",3,"armoni brooks","armoni","brooks",25,10,0,10.4,1.5,4.6,0.326,1.1,3.2,0.344,0.4,1.4,0.286,0.446,0.1,0.2,0.5,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2,0.32,"sg",3021
"BRK",3,"nic claxton","nic","claxton",24,71,71,29.8,5.2,8.2,0.629,0,0.1,0.2,5.1,8.1,0.633,0.63,1.5,2.8,0.551,2.7,7.2,9.9,2.1,0.6,2.1,1.3,2.5,11.8,0.294366197183099,"c",3005
"BRK",3,"cam thomas","cam","thomas",22,66,51,31.4,8,18,0.442,2.2,6,0.364,5.8,12,0.481,0.503,4.3,5.1,0.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1,22.5,0.254545454545455,"sg",3003
"BRK",3,"cameron johnson","cameron","johnson",27,58,47,27.6,4.8,10.7,0.446,2.4,6.1,0.391,2.4,4.6,0.519,0.557,1.5,1.9,0.789,0.9,3.4,4.3,2.4,0.8,0.3,1,1.8,13.4,0.239655172413793,"pf",3010
"BRK",3,"mikal bridges","mikal","bridges",27,82,82,34.8,6.9,15.8,0.436,2.7,7.2,0.372,4.2,8.6,0.49,0.521,3.1,3.9,0.814,0.8,3.7,4.5,3.6,1,0.4,2,1.4,19.6,0.21219512195122,"sf",3004
"BRK",3,"day'ron sharpe","day'ron","sharpe",22,61,1,15.1,2.8,4.8,0.571,0.1,0.2,0.267,2.7,4.6,0.588,0.578,1.2,2,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8,0.19344262295082,"c",3009
"BRK",3,"dennis smith jr.","dennis","smith",26,56,2,18.9,2.6,6,0.435,0.6,1.9,0.294,2.1,4.1,0.502,0.482,0.8,1,0.741,0.9,2,2.9,3.6,1.2,0.2,1.2,2.2,6.6,0.173214285714286,"pg",3012
