"Team_Index","Date","HomeAway","Opponent","Winloss","Overtime","Points","OppPoints","OpponentWins","OpponentLosses","Team","TeamColor","Game_ID"
1,2023-10-25,FALSE,"charlotte hornets",FALSE,FALSE,110,116,3,1,"ATL","ATLAway",108698
1,2023-10-27,TRUE,"new york knicks",FALSE,FALSE,120,126,2,1,"ATL","ATLHome",108700
1,2023-10-29,FALSE,"milwaukee bucks",TRUE,FALSE,127,110,2,1,"ATL","ATLAway",108702
1,2023-10-30,TRUE,"minnesota timberwolves",TRUE,FALSE,127,113,1,1,"ATL","ATLHome",108703
1,2023-11-01,TRUE,"washington wizards",TRUE,FALSE,130,121,1,3,"ATL","ATLHome",108705
1,2023-11-04,FALSE,"new orleans pelicans",TRUE,FALSE,123,105,1,1,"ATL","ATLAway",108708
1,2023-11-06,FALSE,"oklahoma city thunder",FALSE,FALSE,117,126,1,1,"ATL","ATLAway",108710
1,2023-11-09,FALSE,"orlando magic",TRUE,FALSE,120,119,1,3,"ATL","ATLAway",108713
1,2023-11-11,TRUE,"miami heat",FALSE,FALSE,109,117,3,1,"ATL","ATLHome",108715
1,2023-11-14,FALSE,"detroit pistons",TRUE,FALSE,126,120,0,3,"ATL","ATLAway",108718
1,2023-11-15,TRUE,"new york knicks",FALSE,FALSE,114,116,2,1,"ATL","ATLHome",108719
1,2023-11-17,TRUE,"philadelphia 76ers",FALSE,FALSE,116,126,2,2,"ATL","ATLHome",108721
1,2023-11-21,TRUE,"indiana pacers",FALSE,FALSE,152,157,4,0,"ATL","ATLHome",108725
1,2023-11-22,TRUE,"brooklyn nets",TRUE,TRUE,147,145,3,1,"ATL","ATLHome",108726
1,2023-11-25,FALSE,"washington wizards",TRUE,FALSE,136,108,1,3,"ATL","ATLAway",108729
1,2023-11-26,FALSE,"boston celtics",FALSE,FALSE,103,113,2,2,"ATL","ATLAway",108730
1,2023-11-28,FALSE,"cleveland cavaliers",FALSE,FALSE,105,128,3,1,"ATL","ATLAway",108732
1,2023-11-30,FALSE,"san antonio spurs",TRUE,FALSE,137,135,0,2,"ATL","ATLAway",108734
1,2023-12-02,FALSE,"milwaukee bucks",FALSE,FALSE,121,132,2,1,"ATL","ATLAway",108736
1,2023-12-06,TRUE,"brooklyn nets",FALSE,FALSE,113,114,3,1,"ATL","ATLHome",108740
1,2023-12-08,FALSE,"philadelphia 76ers",FALSE,FALSE,114,125,2,2,"ATL","ATLAway",108742
1,2023-12-11,TRUE,"denver nuggets",FALSE,FALSE,122,129,2,0,"ATL","ATLHome",108745
