"Team","Team_Index","Country.abr","Player","FirstName","LastName","Position","Height","Weight","BirthDate","College","Address","City","State","Zip","County","Latitude","Longitude","Country","Country.abr3","Country.num","Cty.Latitude","Cty.Longitude","Player_ID"
"ATL","1","ao","bruno fernando","bruno","fernando","c",81,240,1998-08-15,"university of university of maryland-college park-college park","NOT AVAILABLE","COLLEGE PARK","MD",20742,"PRINCE GEORGE'S",38.9886065480001,-76.939704118,"Angola","AGO",24,-12.5,18.5,1001
"ATL","1","ch","clint capela","clint","capela","c",82,240,1994-05-18,"none","none","none","na",0,"other",0,0,"Switzerland","CHE",756,47,8,1002
"ATL","1","cz","vit krejci","vit","krejci","pg",80,195,2000-06-19,"none","none","none","na",0,"other",0,0,"Czech Republic","CZE",203,49.75,15.5,1003
"ATL","1","rs","bogdan bogdanović","bogdan","bogdanović","sg",77,220,1992-08-18,"none","none","none","na",0,"other",0,0,"Serbia","SRB",688,44,21,1004
"ATL","1","sn","mouhamed gueye","mouhamed","gueye","pf",83,210,2002-11-09,"university of washington-seattle campus state university university","FRENCH ADMINISTRATION BUILDING","PULLMAN","WA",99164,"WHITMAN",46.7304480000001,-117.158168,"Senegal","SEN",686,14,-14,1005
"ATL","1","us","dejounte murray","dejounte","murray","sg",77,180,1996-09-19,"university of university of washington-seattle campus-seattle campus","1400 NE CAMPUS PARKWAY","SEATTLE","WA",98195,"KING",47.655775179,-122.310802164,"United States","USA",840,38,-97,1006
"ATL","1","us","jalen johnson","jalen","johnson","sf",81,220,2001-12-18,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"United States","USA",840,38,-97,1007
"ATL","1","us","garrison mathews","garrison","mathews","sg",77,215,1996-10-24,"lipscomb university university","ONE UNIVERSITY PARK DRIVE","NASHVILLE","TN",37204,"DAVIDSON",36.1046895110001,-86.799303747,"United States","USA",840,38,-97,1008
"ATL","1","us","saddiq bey","saddiq","bey","sf",79,215,1999-04-09,"villanova university university","800 LANCASTER AVENUE","VILLANOVA","PA",19085,"DELAWARE",40.035771633,-75.3402221859999,"United States","USA",840,38,-97,1009
"ATL","1","us","de'andre hunter","de'andre","hunter","sf",80,225,1997-12-02,"university of university of virginia-main campus-main campus","1827 UNIVERSITY AVENUE","CHARLOTTESVILLE","VA",22903,"ALBEMARLE",38.033977,-78.5118449999999,"United States","USA",840,38,-97,1010
"ATL","1","us","trent forrest","trent","forrest","sg",76,210,1998-06-12,"university of florida state university","222 S. COPELAND STREET","TALLAHASSEE","FL",32306,"LEON",30.443222,-84.301554,"United States","USA",840,38,-97,1011
"ATL","1","us","onyeka okongwu","onyeka","okongwu","c",80,235,2000-12-11,"university of southern university of california-berkeley","UNIVERSITY PARK","LOS ANGELES","CA",90089,"LOS ANGELES",34.021058,-118.283858,"United States","USA",840,38,-97,1012
"ATL","1","us","trae young","trae","young","pg",73,164,1998-09-19,"university of university of oklahoma-norman campus-norman campus","660 PARRINGTON OVAL","NORMAN","OK",73019,"CLEVELAND",35.208069025,-97.445692352,"United States","USA",840,38,-97,1013
"ATL","1","us","aj griffin","aj","griffin","sf",78,222,2003-08-25,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"United States","USA",840,38,-97,1014
"ATL","1","us","kobe bufkin","kobe","bufkin","sg",76,195,2003-09-21,"university of university of michigan-ann arbor-ann arbor","503 THOMPSON STREET","ANN ARBOR","MI",48109,"WASHTENAW",42.2780300000001,-83.736564,"United States","USA",840,38,-97,1015
"ATL","1","us","wesley matthews","wesley","matthews","sg",77,220,1986-10-14,"marquette university university","1250 W WISCONSIN AVENUE","MILWAUKEE","WI",53233,"MILWAUKEE",43.0371829200001,-87.931088255,"United States","USA",840,38,-97,1016
"ATL","1","us","dylan windler","dylan","windler","sf",78,196,1996-09-22,"belmont university university","1900 BELMONT BLVD","NASHVILLE","TN",37212,"DAVIDSON",36.1338661410001,-86.7947151119999,"United States","USA",840,38,-97,1017
"ATL","1","us","seth lundy","seth","lundy","sf",78,220,2000-04-02,"pennsylvania state university-main campus","201 OLD MAIN","UNIVERSITY PARK","PA",16802,"CENTRE",40.800732,-77.861644,"United States","USA",840,38,-97,1018
"BOS","2","ca","oshae brissett","oshae","brissett","sf",79,210,1998-06-20,"syracuse university university","900 SOUTH CROUSE AVE.","SYRACUSE","NY",13244,"ONONDAGA",43.0398910000001,-76.13267,"Canada","CAN",124,60,-95,2001
"BOS","2","do","al horford","al","horford","c",81,240,1986-06-03,"university of university of florida","TIGERT HALL","GAINESVILLE","FL",32611,"ALACHUA",29.638248,-82.361195,"Dominican Republic","DOM",214,19,-70.6667,2002
"BOS","2","lv","kristaps porziņģis","kristaps","porziņģis","c",86,240,1995-08-02,"none","none","none","na",0,"other",0,0,"Latvia","LVA",428,57,25,2003
"BOS","2","pt","neemias queta","neemias","queta","c",84,245,1999-07-13,"university of utah state university university","OLD MAIN HILL","LOGAN","UT",84322,"CACHE",41.7407480000001,-111.81391,"Portugal","PRT",620,39.5,-8,2004
"BOS","2","ua","svi mykhailiuk","svi","mykhailiuk","sf",79,205,1997-06-10,"university of university of kansas","STRONG HALL, 1450 JAYHAWK BLVD, ROOM 230","LAWRENCE","KS",66045,"DOUGLAS",38.9564740000001,-95.258651,"Ukraine","UKR",804,49,32,2005
"BOS","2","us","payton pritchard","payton","pritchard","pg",73,195,1998-01-28,"university of university of oregon","110 JOHNSON HALL","EUGENE","OR",97403,"LANE",44.044515,-123.07398,"United States","USA",840,38,-97,2006
"BOS","2","us","sam hauser","sam","hauser","sf",80,215,1997-12-08,"university of university of virginia-main campus-main campus","1827 UNIVERSITY AVENUE","CHARLOTTESVILLE","VA",22903,"ALBEMARLE",38.033977,-78.5118449999999,"United States","USA",840,38,-97,2007
"BOS","2","us","jayson tatum","jayson","tatum","pf",80,210,1998-03-03,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"United States","USA",840,38,-97,2008
"BOS","2","us","derrick white","derrick","white","sg",76,190,1994-07-02,"university of university of colorado boulder boulder","REGENT DRIVE AT BROADWAY","BOULDER","CO",80309,"BOULDER",40.004415065,-105.267061271,"United States","USA",840,38,-97,2009
"BOS","2","us","jaylen brown","jaylen","brown","sf",78,223,1996-10-24,"university of university of california-berkeley-berkeley","200 CALIFORNIA HALL","BERKELEY","CA",94720,"ALAMEDA",37.8757590000001,-122.24851,"United States","USA",840,38,-97,2010
