"Team_Index","Player","FirstName","LastName","Age","TotalGamesPlayed","TotalGamesStarted","TotalMinutesPlayed","TotalFieldGoalsPerGame","TotalFieldGoalAttempts","TotalFieldGoals","TotalThreePointFieldGoalsPerGame","TotalThreePointFieldGoalAttempts","TotalThreePointFieldGoalPercent","TotalTwoPointFieldGoalsPerGame","TotalTwoPointFieldGoalAttempts","TotalTwoPointFieldGoalPercent","TotalEffectiveFieldGoalPercent","TotalFreeThrows","TotalFreeThrowAttempts","TotalFreeThrowPercent","TotalOffensiveRebounds","TotalDefensiveRebounds","TotalRebounds","TotalAssists","TotalSteals","TotalBlocks","TotalTurnovers","TotalPersonalFouls","TotalPoints","Team","Position","Player_ID"
1,"dejounte murray","dejounte","murray",27,78,78,2783,672,1463,0.459,201,554,0.363,471,909,0.518,0.528,208,262,0.794,62,354,416,502,111,24,201,138,1753,"ATL","sg",1006
1,"bogdan bogdanović","bogdan","bogdanović",31,79,33,2401,471,1100,0.428,240,641,0.374,231,459,0.503,0.537,151,164,0.921,53,219,272,247,96,26,112,179,1333,"ATL","sg",1004
1,"saddiq bey","saddiq","bey",24,63,51,2062,290,697,0.416,113,358,0.316,177,339,0.522,0.497,170,203,0.837,167,244,411,92,51,11,54,88,863,"ATL","sf",1009
1,"trae young","trae","young",25,54,54,1942,433,1008,0.43,175,469,0.373,258,539,0.479,0.516,348,407,0.855,23,126,149,583,72,11,235,109,1389,"ATL","pg",1013
1,"jalen johnson","jalen","johnson",22,56,52,1889,359,702,0.511,71,200,0.355,288,502,0.574,0.562,107,147,0.728,74,414,488,203,67,47,101,133,896,"ATL","sf",1007
1,"clint capela","clint","capela",29,73,73,1883,353,618,0.571,0,1,0,353,617,0.572,0.571,130,206,0.631,335,441,776,91,43,106,74,164,836,"ATL","c",1002
1,"de'andre hunter","de'andre","hunter",26,57,37,1681,304,663,0.459,117,304,0.385,187,359,0.521,0.547,166,196,0.847,31,191,222,87,40,16,83,146,891,"ATL","sf",1010
1,"onyeka okongwu","onyeka","okongwu",23,55,8,1405,223,365,0.611,23,69,0.333,200,296,0.676,0.642,92,116,0.793,145,231,376,74,26,60,45,162,561,"ATL","c",1012
1,"garrison mathews","garrison","mathews",27,66,5,992,103,226,0.456,85,193,0.44,18,33,0.545,0.644,34,42,0.81,17,75,92,37,20,8,19,115,325,"ATL","sg",1008
1,"bruno fernando","bruno","fernando",25,45,2,682,109,187,0.583,0,4,0,109,183,0.596,0.583,64,96,0.667,59,134,193,46,25,28,44,107,282,"ATL","c",1001
