"Team_Index","TeamWins","TeamLosses","WinRate","TeamStrength","Team"
1,36,47,0.433734939759036,"Average","ATL"
2,64,18,0.780487804878049,"Strong","BOS"
3,32,50,0.390243902439024,"Weak","BRK"
4,21,61,0.25609756097561,"Weak","CHA"
5,40,44,0.476190476190476,"Average","CHI"
6,48,34,0.585365853658537,"Average","CLE"
7,50,32,0.609756097560976,"Strong","DAL"
8,57,25,0.695121951219512,"Strong","DEN"
9,14,68,0.170731707317073,"Weak","DET"
10,46,37,0.55421686746988,"Average","GSW"
11,41,41,0.5,"Average","HOU"
12,47,35,0.573170731707317,"Average","IND"
13,51,31,0.621951219512195,"Strong","LAC"
14,48,35,0.578313253012048,"Average","LAL"
15,27,55,0.329268292682927,"Weak","MEM"
16,47,37,0.55952380952381,"Average","MIA"
17,49,33,0.597560975609756,"Average","MIL"
18,56,26,0.682926829268293,"Strong","MIN"
19,50,34,0.595238095238095,"Average","NOP"
20,50,32,0.609756097560976,"Strong","NYK"
21,57,25,0.695121951219512,"Strong","OKC"
22,47,35,0.573170731707317,"Average","ORL"
23,48,35,0.578313253012048,"Average","PHI"
24,49,33,0.597560975609756,"Average","PHO"
25,21,61,0.25609756097561,"Weak","POR"
26,47,37,0.55952380952381,"Average","SAC"
27,22,60,0.268292682926829,"Weak","SAS"
28,25,57,0.304878048780488,"Weak","TOR"
29,31,51,0.378048780487805,"Weak","UTA"
30,15,67,0.182926829268293,"Weak","WAS"
