"Team","Player_ID","Player","Team_Index","Stats","Value"
"PHI",23002,"joel embiid",23,"PointsPerGame",34.7
"PHI",23002,"joel embiid",23,"TotalReboundsPerGame",11
"PHI",23002,"joel embiid",23,"AssistsPerGame",5.6
"PHI",23002,"joel embiid",23,"StealsPerGame",1.2
"PHI",23002,"joel embiid",23,"BlocksPerGame",1.7
"DAL",7008,"luka dončić",7,"PointsPerGame",33.9
"DAL",7008,"luka dončić",7,"TotalReboundsPerGame",9.2
"DAL",7008,"luka dončić",7,"AssistsPerGame",9.8
"DAL",7008,"luka dončić",7,"StealsPerGame",1.4
"DAL",7008,"luka dončić",7,"BlocksPerGame",0.5
"MIL",17002,"giannis antetokounmpo",17,"PointsPerGame",30.4
"MIL",17002,"giannis antetokounmpo",17,"TotalReboundsPerGame",11.5
"MIL",17002,"giannis antetokounmpo",17,"AssistsPerGame",6.5
"MIL",17002,"giannis antetokounmpo",17,"StealsPerGame",1.2
"MIL",17002,"giannis antetokounmpo",17,"BlocksPerGame",1.1
"OKC",21003,"shai gilgeous-alexander",21,"PointsPerGame",30.1
"OKC",21003,"shai gilgeous-alexander",21,"TotalReboundsPerGame",5.5
"OKC",21003,"shai gilgeous-alexander",21,"AssistsPerGame",6.2
"OKC",21003,"shai gilgeous-alexander",21,"StealsPerGame",2
"OKC",21003,"shai gilgeous-alexander",21,"BlocksPerGame",0.9
"NYK",20008,"jalen brunson",20,"PointsPerGame",28.7
"NYK",20008,"jalen brunson",20,"TotalReboundsPerGame",3.6
"NYK",20008,"jalen brunson",20,"AssistsPerGame",6.7
"NYK",20008,"jalen brunson",20,"StealsPerGame",0.9
"NYK",20008,"jalen brunson",20,"BlocksPerGame",0.2
"PHO",24008,"devin booker",24,"PointsPerGame",27.1
"PHO",24008,"devin booker",24,"TotalReboundsPerGame",4.5
"PHO",24008,"devin booker",24,"AssistsPerGame",6.9
"PHO",24008,"devin booker",24,"StealsPerGame",0.9
"PHO",24008,"devin booker",24,"BlocksPerGame",0.4
"PHO",24005,"kevin durant",24,"PointsPerGame",27.1
"PHO",24005,"kevin durant",24,"TotalReboundsPerGame",6.6
"PHO",24005,"kevin durant",24,"AssistsPerGame",5
"PHO",24005,"kevin durant",24,"StealsPerGame",0.9
"PHO",24005,"kevin durant",24,"BlocksPerGame",1.2
"BOS",2008,"jayson tatum",2,"PointsPerGame",26.9
"BOS",2008,"jayson tatum",2,"TotalReboundsPerGame",8.1
"BOS",2008,"jayson tatum",2,"AssistsPerGame",4.9
"BOS",2008,"jayson tatum",2,"StealsPerGame",1
"BOS",2008,"jayson tatum",2,"BlocksPerGame",0.6
"CLE",6009,"donovan mitchell",6,"PointsPerGame",26.6
"CLE",6009,"donovan mitchell",6,"TotalReboundsPerGame",5.1
"CLE",6009,"donovan mitchell",6,"AssistsPerGame",6.1
"CLE",6009,"donovan mitchell",6,"StealsPerGame",1.8
"CLE",6009,"donovan mitchell",6,"BlocksPerGame",0.5
"SAC",26008,"de'aaron fox",26,"PointsPerGame",26.6
"SAC",26008,"de'aaron fox",26,"TotalReboundsPerGame",4.6
"SAC",26008,"de'aaron fox",26,"AssistsPerGame",5.6
"SAC",26008,"de'aaron fox",26,"StealsPerGame",2
"SAC",26008,"de'aaron fox",26,"BlocksPerGame",0.4
"DEN",8003,"nikola jokić",8,"PointsPerGame",26.4
"DEN",8003,"nikola jokić",8,"TotalReboundsPerGame",12.4
"DEN",8003,"nikola jokić",8,"AssistsPerGame",9
"DEN",8003,"nikola jokić",8,"StealsPerGame",1.4
"DEN",8003,"nikola jokić",8,"BlocksPerGame",0.9
"GSW",10007,"stephen curry",10,"PointsPerGame",26.4
"GSW",10007,"stephen curry",10,"TotalReboundsPerGame",4.5
"GSW",10007,"stephen curry",10,"AssistsPerGame",5.1
"GSW",10007,"stephen curry",10,"StealsPerGame",0.7
"GSW",10007,"stephen curry",10,"BlocksPerGame",0.4
"MIN",18004,"anthony edwards",18,"PointsPerGame",25.9
"MIN",18004,"anthony edwards",18,"TotalReboundsPerGame",5.4
"MIN",18004,"anthony edwards",18,"AssistsPerGame",5.1
"MIN",18004,"anthony edwards",18,"StealsPerGame",1.3
"MIN",18004,"anthony edwards",18,"BlocksPerGame",0.5
"PHI",23005,"tyrese maxey",23,"PointsPerGame",25.9
"PHI",23005,"tyrese maxey",23,"TotalReboundsPerGame",3.7
"PHI",23005,"tyrese maxey",23,"AssistsPerGame",6.2
"PHI",23005,"tyrese maxey",23,"StealsPerGame",1
"PHI",23005,"tyrese maxey",23,"BlocksPerGame",0.5
"ATL",1013,"trae young",1,"PointsPerGame",25.7
"ATL",1013,"trae young",1,"TotalReboundsPerGame",2.8
"ATL",1013,"trae young",1,"AssistsPerGame",10.8
"ATL",1013,"trae young",1,"StealsPerGame",1.3
"ATL",1013,"trae young",1,"BlocksPerGame",0.2
"LAL",14006,"lebron james",14,"PointsPerGame",25.7
"LAL",14006,"lebron james",14,"TotalReboundsPerGame",7.3
"LAL",14006,"lebron james",14,"AssistsPerGame",8.3
"LAL",14006,"lebron james",14,"StealsPerGame",1.3
"LAL",14006,"lebron james",14,"BlocksPerGame",0.5
"DAL",7001,"kyrie irving",7,"PointsPerGame",25.6
"DAL",7001,"kyrie irving",7,"TotalReboundsPerGame",5
"DAL",7001,"kyrie irving",7,"AssistsPerGame",5.2
"DAL",7001,"kyrie irving",7,"StealsPerGame",1.3
"DAL",7001,"kyrie irving",7,"BlocksPerGame",0.5
"MEM",15018,"ja morant",15,"PointsPerGame",25.1
"MEM",15018,"ja morant",15,"TotalReboundsPerGame",5.6
"MEM",15018,"ja morant",15,"AssistsPerGame",8.1
"MEM",15018,"ja morant",15,"StealsPerGame",0.8
"MEM",15018,"ja morant",15,"BlocksPerGame",0.6
"LAL",14004,"anthony davis",14,"PointsPerGame",24.7
"LAL",14004,"anthony davis",14,"TotalReboundsPerGame",12.6
